epoch,accuracy,loss,top3_acc,val_accuracy,val_loss,val_top3_acc
1,0.7856876850128174,1.130880355834961,0.8159497976303101,0.9957703948020935,0.031089741736650467,0.9961732029914856
2,0.9969385266304016,0.02062240056693554,0.998429000377655,0.9995971918106079,0.002722030272707343,0.9999597072601318
3,0.999607264995575,0.004286003299057484,0.9999194145202637,0.9998791813850403,0.0006334062782116234,0.9999597072601318
4,0.9998590350151062,0.001768490532413125,0.9999798536300659,0.9999194145202637,0.00043046072823926806,0.9999597072601318
5,0.9998791813850403,0.0010534493485465646,1.0,0.9999194145202637,0.00023559819965157658,1.0
6,0.9999597072601318,0.0006036760751157999,1.0,0.9999597072601318,0.00015686819097027183,1.0
7,0.9999697804450989,0.0004499961796682328,1.0,0.9999597072601318,0.0001480731152696535,1.0
8,0.999989926815033,0.0002995445393025875,1.0,1.0,7.54699285607785e-05,1.0
9,0.9999597072601318,0.0002961863065138459,1.0,0.9999597072601318,9.571557893650606e-05,1.0
10,0.9999496340751648,0.0003716653154697269,1.0,0.9999597072601318,8.436760253971443e-05,1.0
11,0.999989926815033,0.00017182111332658678,1.0,0.9999597072601318,9.151647827820852e-05,1.0
12,0.9999395608901978,0.00031768562621437013,1.0,0.9999597072601318,0.0001088613789761439,1.0
13,0.9999798536300659,0.00018251121218781918,1.0,0.9999597072601318,5.6179902458097786e-05,1.0
